McD/SB,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g)
SB,drink,Hot Drinks,Caffe Latte,190,7.0,19,0.0,13,0.17
SB,drink,Hot Drinks,Caffe Mocha,290,8.0,42,4.0,13,0.14
SB,drink,Hot Drinks,Cappuccino,120,4.0,12,0.0,8,0.1
SB,drink,Hot Drinks,Caramel Macchiato,250,7.0,35,0.0,10,0.15
SB,drink,Hot Drinks,Cinnamon Dolce Latte,260,6.0,40,0.0,11,0.15
SB,drink,Cold Drinks,Coconutmilk Mocha Macchiato,250,9.0,32,0.0,12,0.18
SB,drink,Cold Drinks,Flat White,180,7.0,18,0.0,12,0.16
SB,drink,Cold Drinks,Iced Caffe Latte,130,4.5,13,0.0,8,0.115
SB,drink,Cold Drinks,Iced Caffe Mocha,230,6.0,36,4.0,9,0.09
SB,drink,Cold Drinks,Iced Caramel Macchiato,250,7.0,37,0.0,10,0.15
SB,drink,Cold Drinks,Iced Cinnamon Dolce Latte,200,4.0,34,0.0,7,0.095
SB,drink,Cold Drinks,Iced Coconutmilk Mocha Macchiato,260,9.0,34,0.0,11,0.18
SB,drink,Cold Drinks,Iced Vanilla Latte,190,4.0,30,0.0,7,0.1
SB,drink,Cold Drinks,Iced White Chocolate Mocha,300,8.0,47,0.0,10,0.19
SB,drink,Hot Drinks,Latte Macchiato,190,7.0,19,0.0,12,0.16
SB,drink,Hot Drinks,Latte Macchiato,190,7.0,19,0.0,12,0.16
SB,drink,Hot Drinks,Starbucks Doubleshot on Ice Beverage,45,1.0,5,0.0,3,0.04
SB,drink,Cold Drinks,Vanilla Latte,250,6.0,37,0.0,12,0.15
SB,drink,Hot Drinks,White Chocolate Mocha,360,11.0,53,0.0,14,0.24
SB,drink,Cold Drinks,Cinnamon Dolce Frappuccino Blended Coffee,350,4.5,64,0.0,15,0.0
SB,drink,Cold Drinks,Coffee Light Frappuccino Blended Coffee,110,0.0,24,0.0,3,0.2
SB,drink,Cold Drinks,Mocha Frappuccino Blended Coffee,280,2.5,60,2.0,4,0.22
SB,drink,Cold Drinks,Mocha Light Frappuccino Blended Coffee,140,0.5,28,1.0,4,0.18
SB,drink,Hot Drinks,Cinnamon Dolce Creme,200,6.0,28,0.0,10,0.135
SB,drink,Hot Drinks,Vanilla Creme,200,6.0,28,0.0,10,0.135
SB,drink,Cold Drinks,Chocolate Smoothie,320,5.0,53,8.0,20,0.17
SB,drink,Cold Drinks,Strawberry Smoothie,300,2.0,60,7.0,16,0.13
McD,food,Hot Breakfast,Egg McMuffin,300,13.0,31,4.0,17,0.75
