,McD=0_SB=1,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g),b_Energy(kcal),b_Fat(g),b_Carbohydrates(g),b_Fiber(g),b_Protein(g),b_Sodium(g),d_Energy(kcal),d_Fat(g),d_Carbohydrates(g),d_Fiber(g),d_Protein(g),d_Sodium(g)
42,1,food,Salads,Roasted Carrot & Kale Side Salad,440,26.0,44,7.0,10,0.4,0.6068965517241379,1.0721649484536082,0.4180522565320665,1.4,0.45977011494252873,0.9195402298850576,0.43349753694581283,0.7658321060382917,0.2986087546657618,1.0,0.3284072249589491,0.7079646017699116
43,1,food,Lunch/Cold Sandwiches,Roasted Turkey & Dill Havarti Sandwich,600,32.0,47,6.0,32,0.86,0.8275862068965517,1.3195876288659794,0.44655581947743467,1.2,1.471264367816092,1.9770114942528736,0.5911330049261084,0.9425625920471282,0.31896844248388195,0.8571428571428571,1.0509031198686372,1.5221238938053099
44,1,food,Lunch/Warm Sandwiches,Seasoned Turkey & Green Pepper Pico,390,18.0,30,5.0,28,0.9,0.5379310344827586,0.7422680412371134,0.2850356294536817,1.0,1.2873563218390804,2.0689655172413794,0.3842364532019705,0.5301914580265097,0.20359687818120123,0.7142857142857143,0.9195402298850575,1.5929203539823011
47,1,food,Yogurt & Custard,Strawberry & Toasted Almonds Overnight Grains,410,24.0,42,5.0,7,0.035,0.5655172413793104,0.9896907216494846,0.3990498812351544,1.0,0.3218390804597701,0.08045977011494254,0.40394088669950745,0.7069219440353461,0.2850356294536817,0.7142857142857143,0.22988505747126436,0.06194690265486727
49,1,food,Salads,Za'atar Chicken & Lemon Tahini Salad,570,23.0,67,11.0,27,0.88,0.7862068965517242,0.9484536082474226,0.6365795724465558,2.2,1.2413793103448276,2.0229885057471266,0.561576354679803,0.6774668630338734,0.45469969460468274,1.5714285714285714,0.8866995073891626,1.5575221238938055
50,1,food,Protein Boxes & Bowls,Cheese & Fruit Protein Box,450,27.0,34,4.0,20,0.62,0.6206896551724138,1.1134020618556701,0.32304038004750596,0.8,0.9195402298850575,1.4252873563218391,0.44334975369458135,0.7952871870397644,0.2307431286053614,0.5714285714285714,0.6568144499178982,1.097345132743363
54,1,food,Protein Boxes & Bowls,Creminelli Sopressata Monterey Jack Snack Tray,220,17.0,0,0.0,15,0.72,0.30344827586206896,0.7010309278350515,0.0,0.0,0.6896551724137931,1.6551724137931034,0.21674876847290642,0.5007363770250369,0.0,0.0,0.49261083743842365,1.2743362831858407
55,1,food,Protein Boxes & Bowls,Eggs & Cheese Protein Box,460,24.0,40,5.0,23,0.54,0.6344827586206897,0.9896907216494846,0.38004750593824227,1.0,1.0574712643678161,1.2413793103448276,0.4532019704433498,0.7069219440353461,0.2714625042416016,0.7142857142857143,0.7553366174055829,0.9557522123893807
57,1,food,Protein Boxes & Bowls,PB&J Protein Box,520,26.0,53,5.0,20,0.57,0.7172413793103448,1.0721649484536082,0.503562945368171,1.0,0.9195402298850575,1.3103448275862069,0.5123152709359606,0.7658321060382917,0.3596878181201222,0.7142857142857143,0.6568144499178982,1.008849557522124
59,1,food,Soups,Chicken Quinoa Soup,120,3.5,10,1.0,13,0.0,0.16551724137931034,0.14432989690721648,0.09501187648456057,0.2,0.5977011494252874,0.0,0.11822660098522168,0.10309278350515465,0.0678656260604004,0.14285714285714285,0.42692939244663386,0.0
60,1,food,Soups,Organic Tomato Basil Soup,170,12.0,16,3.0,3,0.0,0.23448275862068965,0.4948453608247423,0.15201900237529692,0.6,0.13793103448275862,0.0,0.16748768472906406,0.35346097201767307,0.10858500169664066,0.42857142857142855,0.09852216748768473,0.0
61,1,food,Hot Breakfast,Bacon Gouda & Egg Breakfast Sandwich,370,19.0,32,1.0,18,0.78,0.5103448275862069,0.7835051546391752,0.30403800475059384,0.2,0.8275862068965517,1.793103448275862,0.36453201970443355,0.5596465390279824,0.21717000339328132,0.14285714285714285,0.5911330049261084,1.3805309734513276
63,1,food,Hot Breakfast,Classic Whole-Grain Oatmeal,160,2.5,28,4.0,5,0.125,0.2206896551724138,0.10309278350515463,0.2660332541567696,0.8,0.22988505747126436,0.28735632183908044,0.1576354679802956,0.0736377025036819,0.19002375296912113,0.5714285714285714,0.16420361247947454,0.22123893805309736
65,1,food,Hot Breakfast,Ham & Cheese Croissant,320,17.0,28,1.0,14,0.49,0.4413793103448276,0.7010309278350515,0.2660332541567696,0.2,0.6436781609195402,1.1264367816091954,0.3152709359605912,0.5007363770250369,0.19002375296912113,0.14285714285714285,0.45977011494252873,0.8672566371681416
66,1,food,Hot Breakfast,Hearty Blueberry Oatmeal,220,2.5,43,5.0,5,0.125,0.30344827586206896,0.10309278350515463,0.4085510688836104,1.0,0.22988505747126436,0.28735632183908044,0.21674876847290642,0.0736377025036819,0.29182219205972176,0.7142857142857143,0.16420361247947454,0.22123893805309736
