McD=0_SB=1;Category;Kind;Item;Energy(kcal);Fat(g);Carbohydrates(g);Fiber(g);Protein(g);Sodium(g)
0;food;Hot Breakfast;Sausage Biscuit (Regular Biscuit);430;27;34;2;11;1.08
0;food;Hot Breakfast;Sausage Biscuit (Large Biscuit);480;31;39;3;11;1.19
0;food;Hot Breakfast;Sausage Biscuit with Egg (Regular Biscuit);510;33;36;2;18;1.17
0;food;Hot Breakfast;Sausage Biscuit with Egg (Large Biscuit);570;37;42;3;18;1.28
0;food;Hot Breakfast;Sausage Biscuit with Egg Whites (Regular Biscuit);460;27;34;2;18;1.18
0;food;Hot Breakfast;Sausage Biscuit with Egg Whites (Large Biscuit);520;32;40;3;18;1.29
0;food;Hot Breakfast;Southern Style Chicken Biscuit (Regular Biscuit);410;20;41;2;17;1.18
0;food;Hot Breakfast;Southern Style Chicken Biscuit (Large Biscuit);470;24;46;3;17;1.29
0;food;Hot Breakfast;Steak & Egg Biscuit (Regular Biscuit);540;32;38;2;25;1.47
0;food;Hot Breakfast;Bacon, Egg & Cheese McGriddles;460;21;48;2;19;1.25
0;food;Hot Breakfast;Bacon, Egg & Cheese McGriddles with Egg Whites;400;15;47;2;20;1.25
0;food;Hot Breakfast;Sausage McGriddles;420;22;44;2;11;1.03
0;food;Hot Breakfast;Sausage, Egg & Cheese McGriddles;550;31;48;2;20;1.32
0;food;Hot Breakfast;Sausage, Egg & Cheese McGriddles with Egg Whites;500;26;46;2;21;1.32
0;food;Hot Breakfast;Bacon, Egg & Cheese Bagel;620;31;57;3;30;1.48
0;food;Hot Breakfast;Bacon, Egg & Cheese Bagel with Egg Whites;570;25;55;3;30;1.48
0;food;Hot Breakfast;Steak, Egg & Cheese Bagel;670;35;56;3;33;1.51
0;food;Hot Breakfast;Big Breakfast (Regular Biscuit);740;48;51;3;28;1.56
0;food;Hot Breakfast;Big Breakfast (Large Biscuit);800;52;56;4;28;1.68
0;food;Hot Breakfast;Big Breakfast with Egg Whites (Regular Biscuit);640;37;50;3;26;1.59
0;food;Hot Breakfast;Big Breakfast with Egg Whites (Large Biscuit);690;41;55;4;26;1.7
0;food;Hot Breakfast;Big Breakfast with Hotcakes (Regular Biscuit);1090;56;111;6;36;2.15
0;food;Hot Breakfast;Big Breakfast with Hotcakes (Large Biscuit);1150;60;116;7;36;2.26
0;food;Hot Breakfast;Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit);990;46;110;6;35;2.17
0;food;Hot Breakfast;Big Breakfast with Hotcakes and Egg Whites (Large Biscuit);1050;50;115;7;35;2.29
0;food;Hot Breakfast;Hotcakes;350;9;60;3;8;0.59
0;food;Hot Breakfast;Hotcakes and Sausage;520;24;61;3;15;0.93
0;food;Sandwiches/Burgers;Sausage Burrito;300;16;26;1;12;0.79
0;food;Sandwiches/Burgers;Hash Brown;150;9;15;2;1;0.31
0;food;Sandwiches/Burgers;Cinnamon Melts;460;19;66;3;6;0.37
0;food;Sandwiches/Burgers;Fruit & Maple Oatmeal;290;4;58;5;5;0.16
0;food;Sandwiches/Burgers;Fruit & Maple Oatmeal without Brown Sugar;260;4;49;5;5;0.115
0;food;Sandwiches/Burgers;Big Mac;530;27;47;3;24;0.96
0;food;Sandwiches/Burgers;Quarter Pounder with Cheese;520;26;41;3;30;1.1
0;food;Sandwiches/Burgers;Quarter Pounder with Bacon & Cheese;600;29;48;3;37;1.44
0;food;Sandwiches/Burgers;Quarter Pounder with Bacon Habanero Ranch;610;31;46;3;37;1.18
0;food;Sandwiches/Burgers;Quarter Pounder Deluxe;540;27;45;3;29;0.96
0;food;Sandwiches/Burgers;Double Quarter Pounder with Cheese;750;43;42;3;48;1.28
0;food;Sandwiches/Burgers;Hamburger;240;8;32;1;12;0.48
0;food;Sandwiches/Burgers;Cheeseburger;290;11;33;2;15;0.68
0;food;Sandwiches/Burgers;Double Cheeseburger;430;21;35;2;24;1.04
0;food;Sandwiches/Burgers;Bacon Clubhouse Burger;720;40;51;4;39;1.47
0;food;Sandwiches/Burgers;McDouble;380;17;34;2;22;0.84
0;food;Sandwiches/Burgers;Bacon McDouble;440;22;35;2;27;1.11
0;food;Sandwiches/Burgers;Daily Double;430;22;34;2;22;0.76
0;food;Sandwiches/Burgers;Jalapeeo Double;430;23;35;2;22;1.03
0;food;Sandwiches/Burgers;McRib;500;26;44;3;22;0.98
0;food;Sandwiches/Burgers;Premium Crispy Chicken Classic Sandwich;510;22;55;3;24;0.99
0;food;Sandwiches/Burgers;Premium Grilled Chicken Classic Sandwich;350;9;42;3;28;0.82
0;food;Sandwiches/Burgers;Premium Crispy Chicken Club Sandwich;670;33;58;3;36;1.41
0;food;Sandwiches/Burgers;Premium Grilled Chicken Club Sandwich;510;20;44;3;40;1.25
0;food;Sandwiches/Burgers;Premium Crispy Chicken Ranch BLT Sandwich;610;28;57;3;32;1.4
0;food;Sandwiches/Burgers;Premium Grilled Chicken Ranch BLT Sandwich;450;15;43;3;36;1.23
0;food;Sandwiches/Burgers;Bacon Clubhouse Crispy Chicken Sandwich;750;38;65;4;36;1.72
0;food;Sandwiches/Burgers;Bacon Clubhouse Grilled Chicken Sandwich;590;25;51;4;40;1.56
0;food;Sandwiches/Burgers;Southern Style Crispy Chicken Sandwich;430;19;43;2;21;0.91
0;food;Sandwiches/Burgers;McChicken;360;16;40;2;14;0.8
0;food;Sandwiches/Burgers;Bacon Cheddar McChicken;480;24;43;2;22;1.26
0;food;Sandwiches/Burgers;Bacon Buffalo Ranch McChicken;430;21;41;2;20;1.26
0;food;Sandwiches/Burgers;Buffalo Ranch McChicken;360;16;40;2;14;0.99
