,"('Meat & Cheese', 'Cold Drinks')","('Meat & Cheese', 'Hot Drinks')","('Snack Bars', 'Cold Drinks')","('Snack Bars', 'Hot Drinks')","('Fruit & Nuts', 'Cold Drinks')","('Fruit & Nuts', 'Hot Drinks')","('Popcorn & Chips', 'Cold Drinks')","('Popcorn & Chips', 'Hot Drinks')"
8,2.15681292675686,1.4369362126245846,2.4617400318979263,1.3504276237858328,16.16913043478261,2.352158385093168,3.2446402101510463,1.2719767826833046
9,2.5113392425463337,2.731050598394183,2.519149122807017,2.038893178893179,16.22142857142857,4.082692307692308,3.2867929010146257,1.9397750799924711
10,1.491144205050441,1.2879568144499178,2.255268170426065,1.6382615384615384,12.67528205128205,2.7800600474794024,3.105680395017394,1.6151654982045582
11,1.5490535282606193,1.2002552377657325,2.3086491228070174,1.6067999999999998,16.027419354838706,2.8486815920398016,3.1263610178771217,1.5692564336372845
12,1.5481216486594636,1.8789433811802236,2.275315789473684,1.7616407666407663,12.694086021505376,2.8070974677496414,3.1218381775333857,1.675473604826546
13,1.5091100656478809,1.8789433811802236,2.261735144312394,1.7616407666407663,12.681354166666667,2.8070974677496414,3.1109102086819904,1.675473604826546
14,2.3132215954875095,5.796912280701755,2.489077694235589,2.489666666666667,16.19409090909091,10.814375,3.26485629658562,2.5214804804804807
15,1.642177952223753,0.968627583108715,2.338720551378446,1.3835604395604395,16.055517241379313,2.0095075757575755,3.1502984734563686,1.3768067226890754
16,1.5490535282606193,1.4809453997312119,2.3086491228070174,1.7263670388910282,16.027419354838706,3.0445589225589225,3.1263610178771217,1.6751186813186814
17,2.5113392425463337,1.4809453997312119,2.519149122807017,1.7263670388910282,16.22142857142857,3.0445589225589225,3.2867929010146257,1.6751186813186814
18,1.642177952223753,11.64066310160428,2.338720551378446,3.3134432234432234,16.055517241379313,16.5304,3.1502984734563686,2.877501831501831
19,1.5490535282606193,11.64066310160428,2.3086491228070174,3.3134432234432234,16.027419354838706,16.5304,3.1263610178771217,2.877501831501831
20,1.491144205050441,11.64066310160428,2.255268170426065,3.3134432234432234,12.67528205128205,16.5304,3.105680395017394,2.877501831501831
21,1.5490535282606193,11.64066310160428,2.3086491228070174,3.3134432234432234,16.027419354838706,16.5304,3.1263610178771217,2.877501831501831
22,3.9857839756592286,11.64066310160428,2.6893355523195344,3.3134432234432234,26.341714285714282,16.5304,3.3855080971659914,2.877501831501831
23,2.315124183006536,1.7893508634222919,2.564835269993165,1.3345155041354777,6.1940909090909075,2.1453571428571427,3.274325993555317,1.2227696736297506
